cid,smiles
4,CC(CN)O
11,C(CCl)Cl
47,CCC(C)C(=O)C(=O)O
49,CC(C)C(=O)C(=O)O
51,C(CC(=O)O)C(=O)C(=O)O
58,CCC(=O)C(=O)O
70,CC(C)CC(=O)C(=O)O
72,C1=CC(=C(C=C1C(=O)O)O)O
98,C(C(=O)C(=O)O)S
101,C1=CC(=CC(=C1)O)C=O
107,C1=CC=C(C=C1)CCC(=O)O
119,C(CC(=O)O)CN
125,C1=CC(=CC=C1CO)O
126,C1=CC(=CC=C1C=O)O
127,C1=CC(=CC=C1CC(=O)O)O
129,CC(C)CCC=O
135,C1=CC(=CC=C1C(=O)O)O
174,C(CO)O
175,CC(=O)[O-]
176,CC(=O)O
177,CC=O
178,CC(=O)N
179,CC(C(=O)C)O
180,CC(=O)C
190,C1=NC2=NC=NC(=C2N1)N
196,C(CCC(=O)O)CC(=O)O
199,C(CCN=C(N)N)CN
204,C1(C(=O)NC(=O)N1)NC(=O)N
205,CC(C(C(=O)O)N)O
222,N
224,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(O)O)O)O)N
229,C1C(C(C(C(O1)O)O)O)O
232,C(CC(C(=O)O)N)CN=C(N)N
239,C(CN)C(=O)O
240,C1=CC=C(C=C1)C=O
241,C1=CC=CC=C1
242,C1=CC=C(C=C1)C(=O)[O-]
243,C1=CC=C(C=C1)C(=O)O
244,C1=CC=C(C=C1)CO
247,C[N+](C)(C)CC(=O)[O-]
248,C[N+](C)(C)CC(=O)O
261,CCCC=O
262,CC(C(C)O)O
263,CCCCO
264,CCCC(=O)O
273,C(CCN)CCN
280,C(=O)=O
283,C(=O)[O-]
284,C(=O)O
289,C1=CC=C(C(=C1)O)O
294,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
297,C
307,C1=CC=C(C=C1)C=CC=O
308,C1=CC=C(C=C1)C=CCO
309,C(C(=CC(=O)O)C(=O)O)C(=O)O
311,C(C(=O)O)C(CC(=O)O)(C(=O)O)O
313,Cl
323,C1=CC=C2C(=C1)C=CC(=O)O2
325,CC(C)C1=CC=C(C=C1)CO
326,CC(C)C1=CC=C(C=C1)C=O
332,COC1=C(C=CC(=C1)C=C)O
335,CC1=CC=CC=C1O
338,C1=CC=C(C(=C1)C(=O)O)O
342,CC1=CC(=CC=C1)O
356,CCCCCCCC
379,CCCCCCCC(=O)O
385,C(CCC(=O)O)CCC(=O)O
389,C(CC(C(=O)O)N)CN
402,S
424,C(C(C(=O)O)N)C(=O)O
428,C(CN)CN
441,CC(CC(=O)O)O
453,C(C(C(C(C(CO)O)O)O)O)O
454,CCCCCCCC=O
460,COC1=CC=CC=C1O
473,CSCCC(=O)C(=O)O
525,C(C(C(=O)O)O)C(=O)O
527,CCC=O
563,CSCCC(=O)O
564,C(CCC(=O)O)CCN
568,C1=CC=C2C(=C1)C3=CC=CC=C3O2
594,C(C(C(=O)O)N)S
602,CC(C(=O)O)N
611,C(CC(=O)O)C(C(=O)O)N
612,CC(C(=O)O)O
614,C1CC(NC1)C(=O)O
650,CC(=O)C(=O)C
660,C1CC(=O)OC2=CC=CC=C21
670,C(C(=O)CO)O
674,CNC
679,CS(=O)C
700,C(CO)N
701,CCOC(=O)C(C)C(=O)C
702,CCO
712,C=O
713,C(=O)N
723,C(=CC(=O)O)C(=O)O
738,C(CC(=O)N)C(C(=O)O)N
743,C(CC(=O)O)CC(=O)O
750,C(C(=O)O)N
