cid,smiles,inchikey,dtxsid,match,vp_mmHg,vp_source,bp_C,bp_source
4,CC(CN)O,HXKKHQJGJAFBHI-UHFFFAOYSA-N,,,,,,
11,C(CCl)Cl,WSLDOOZREJYCGB-UHFFFAOYSA-N,DTXSID6020438,exact,79.43282347242814,experimental,83.0,predicted
47,CCC(C)C(=O)C(=O)O,JVQYSWDUAOAHFM-UHFFFAOYSA-N,,,,,,
49,CC(C)C(=O)C(=O)O,QHKABHOOEWYVLI-UHFFFAOYSA-N,DTXSID6061078,exact,0.06606934480075961,predicted,171.0,experimental
51,C(CC(=O)O)C(=O)C(=O)O,KPGXRSRHYNQIFN-UHFFFAOYSA-N,DTXSID5033179,exact,3.981071705534969e-06,predicted,320.0,predicted
58,CCC(=O)C(=O)O,TYEYBOSBBBHJIV-UHFFFAOYSA-N,DTXSID9060524,exact,0.06606934480075961,predicted,196.0,predicted
70,CC(C)CC(=O)C(=O)O,BKAJNAXTPSGJCU-UHFFFAOYSA-N,DTXSID6061157,exact,0.025118864315095794,predicted,206.0,predicted
72,C1=CC(=C(C=C1C(=O)O)O)O,YQUVCSBJEUQKSH-UHFFFAOYSA-N,DTXSID4021212,exact,1e-05,predicted,239.0,predicted
98,C(C(=O)C(=O)O)S,OJOLFAIGOXZBCI-UHFFFAOYSA-N,DTXSID20862960,exact,0.0022908676527677724,predicted,213.0,predicted
101,C1=CC(=CC(=C1)O)C=O,IAVREABSGIHHMO-UHFFFAOYSA-N,DTXSID7059220,exact,0.00038018939632056124,predicted,243.0,predicted
107,C1=CC=C(C=C1)CCC(=O)O,XMIIGOLPHOKFCH-UHFFFAOYSA-N,DTXSID2047064,exact,0.0026302679918953813,predicted,280.0,experimental
119,C(CC(=O)O)CN,BTCSSZJGUNDROE-UHFFFAOYSA-N,DTXSID6035106,exact,0.01778279410038923,predicted,191.0,predicted
125,C1=CC(=CC=C1CO)O,BVJSUAQZOZWCKN-UHFFFAOYSA-N,DTXSID8073920,exact,0.00019054607179632462,predicted,252.0,experimental
126,C1=CC(=CC=C1C=O)O,RGHHSNMVTDWUBI-UHFFFAOYSA-N,DTXSID8059552,exact,0.0001148153621496883,predicted,307.0,predicted
127,C1=CC(=CC=C1CC(=O)O)O,XQXPVVBIMDBYFF-UHFFFAOYSA-N,DTXSID5059745,exact,4.073802778041131e-06,predicted,247.0,predicted
129,CC(C)CCC=O,JGEGJYXHCFUMJF-UHFFFAOYSA-N,DTXSID8061509,exact,16.595869074375607,predicted,119.0,predicted
135,C1=CC(=CC=C1C(=O)O)O,FJKROLUGYXJWQN-UHFFFAOYSA-N,DTXSID3026647,exact,1.9498445997580455e-07,predicted,258.0,predicted
174,C(CO)O,LYCAIKOWRPUZTN-UHFFFAOYSA-N,DTXSID8020597,exact,0.09120108393559097,experimental,197.0,experimental
175,CC(=O)[O-],QTBSBXVTEAMEQO-UHFFFAOYSA-M,DTXSID1037694,exact,15.488166189124811,predicted,118.0,predicted
176,CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,DTXSID5024394,exact,15.488166189124811,predicted,118.0,experimental
177,CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,DTXSID5039224,exact,891.2509381337459,predicted,20.0,experimental
178,CC(=O)N,DLFVBJFMPXGRIB-UHFFFAOYSA-N,DTXSID7020005,exact,0.039810717055349734,experimental,222.0,experimental
