smiles,inchikey,dtxsid,match,vp_mmHg,vp_source,bp_C,bp_source,logp,logp_source
CCCCCCCCCCCCCCCOC(C)=O,AAAIZLQILBFRTJ-UHFFFAOYSA-N,DTXSID50334842,exact,5.011872336272725e-05,predicted,292.0,predicted,7.05,predicted
C/C=C/C(=O)OC(C)C,AABBHSMFGKYLKE-SNAWJCMRSA-N,DTXSID801020077,exact,7.762471166286917,predicted,146.0,predicted,2.28,predicted
CC=CC(=O)OC(C)C,AABBHSMFGKYLKE-UHFFFAOYSA-N,DTXSID00863738,exact,7.762471166286917,predicted,146.0,predicted,2.28,predicted
CSc1nc(NC(C)C)nc(NC(C)C)n1,AAEVYOVXGOFMJO-UHFFFAOYSA-N,DTXSID4024272,exact,1.2302687708123811e-06,experimental,339.0,predicted,3.51,experimental
C=CCC1=CC(C)(OC)C(O)C=C1,AAKXDOQQEHOPLA-UHFFFAOYSA-N,,,,,,,,
CC1(C)COC(C)(c2ccccc2)OC1,AALXTPRRKXUUOM-UHFFFAOYSA-N,DTXSID4052188,exact,0.008128305161640995,predicted,260.0,predicted,2.72,predicted
CCCC(=O)C=CC1C(C)=CCCC1(C)C,AAMDTOSQEKQSBS-UHFFFAOYSA-N,,,,,,,,
CCCCCCCCC1CO1,AAMHBRRZYSORSH-UHFFFAOYSA-N,,,,,,,,
CCCCCCCCC=CC=CC=CC=CC=O,AAMSLZKSAJNVNF-UHFFFAOYSA-N,,,,,,,,
CCC(=O)OCC(C)O,AAMWEWAFFUFOJV-UHFFFAOYSA-N,,,,,,,,
CCC1NC(CC)SC(CC)S1,AANIECMHWBXFCP-UHFFFAOYSA-N,DTXSID10338184,exact,0.0015488166189124811,predicted,262.0,predicted,4.02,predicted
O=c1nc[nH]c2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[Na+].[Na+],AANLCWYVVNBGEE-IDIVVRGQSA-L,DTXSID4044242,exact,3.4673685045253096e-09,predicted,318.0,predicted,-1.32,predicted
CC(C)C1C=CC(=O)CC1,AANMVENRNJYEMK-UHFFFAOYSA-N,,,,,,,,
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,AAOVKJBEBIDNHE-UHFFFAOYSA-N,DTXSID4020406,exact,5.7543993733715665e-08,predicted,337.0,predicted,2.91,experimental
C/C=C/SSCCC,AAPBYIVJOWCMGH-HWKANZROSA-N,DTXSID501377788,exact,0.32359365692962827,predicted,204.0,predicted,2.93,predicted
CC=CSSCCC,AAPBYIVJOWCMGH-UHFFFAOYSA-N,DTXSID50863647,exact,0.32359365692962827,predicted,204.0,predicted,2.93,predicted
CC(=O)OCC1CCCO1,AAQDYYFAFXGBFZ-UHFFFAOYSA-N,,,,,,,,
CCNc1ccc(C)cc1,AASABFUMCBTXRL-UHFFFAOYSA-N,DTXSID7060754,exact,0.02754228703338166,predicted,218.0,predicted,2.42,predicted
CCOP(=O)(CC)OCC,AATNZNJRDOVKDD-UHFFFAOYSA-N,DTXSID7025051,exact,0.07244359600749903,experimental,198.0,experimental,0.66,experimental
CCC/C=C/CCOC(C)=O,AAYIYWGTGAUKQY-AATRIKPKSA-N,DTXSID301014580,exact,0.6760829753919817,predicted,196.0,predicted,2.94,predicted
CCC/C=C\CCOC(C)=O,AAYIYWGTGAUKQY-WAYWQWQTSA-N,DTXSID801357761,exact,0.6760829753919817,predicted,196.0,predicted,2.94,predicted
