cid,smiles,inchikey,cas,match,vp_mmHg,vp_source,vp_ref,bp_C,bp_source,mp_C,mp_source,logkow,logkow_source
4,CC(CN)O,HXKKHQJGJAFBHI-UHFFFAOYSA-N,000078-96-6,exact,0.47,experimental,"DAUBERT,TE & DANNER,RP:1989",160.0,experimental,24.0,experimental,-0.96,experimental
11,C(CCl)Cl,WSLDOOZREJYCGB-UHFFFAOYSA-N,000107-06-2,exact,78.9,experimental,"DAUBERT,TE & DANNER,RP:1985",83.5,experimental,-35.5,experimental,1.48,experimental
47,CCC(C)C(=O)C(=O)O,JVQYSWDUAOAHFM-UHFFFAOYSA-N,039748-49-7,exact,0.04397162555828769,estimated,,233.34298706054688,estimated,41.64137649536133,estimated,0.15659976,estimated
49,CC(C)C(=O)C(=O)O,QHKABHOOEWYVLI-UHFFFAOYSA-N,000759-05-7,exact,1.2131964019924255,estimated,,170.5,experimental,31.5,experimental,-0.33450007,estimated
51,C(CC(=O)O)C(=O)C(=O)O,KPGXRSRHYNQIFN-UHFFFAOYSA-N,000328-50-7,exact,1.31e-05,experimental,"CHATTOPADHYAY,S & ZIEMANN,PJ:2005",323.0,experimental,115.5,experimental,-2.0843,estimated
58,CCC(=O)C(=O)O,TYEYBOSBBBHJIV-UHFFFAOYSA-N,000600-18-0,exact,0.19952982421808346,estimated,,206.84283447265625,estimated,33.0,experimental,-0.7521,estimated
70,CC(C)CC(=O)C(=O)O,BKAJNAXTPSGJCU-UHFFFAOYSA-N,004502-00-5,exact,0.04397162555828769,estimated,,233.34298706054688,estimated,41.64137649536133,estimated,0.15659976,estimated
72,C1=CC(=C(C=C1C(=O)O)O)O,YQUVCSBJEUQKSH-UHFFFAOYSA-N,000099-50-3,exact,1.81616543978461e-07,estimated,,338.4079284667969,estimated,221.0,experimental,0.86,experimental
98,C(C(=O)C(=O)O)S,OJOLFAIGOXZBCI-UHFFFAOYSA-N,,,0.012414661208054317,estimated,,252.42593383789062,estimated,54.95307540893555,estimated,-1.2995,estimated
101,C1=CC(=CC(=C1)O)C=O,IAVREABSGIHHMO-UHFFFAOYSA-N,000100-83-4,exact,0.002974744090772842,estimated,,240.0,experimental,108.0,experimental,1.29,experimental
