smiles,inchikey,cas,match,vp_mmHg,vp_source,vp_ref,bp_C,bp_source,mp_C,mp_source,logkow,logkow_source
CCCCCCCCCCCCCCCOC(C)=O,AAAIZLQILBFRTJ-UHFFFAOYSA-N,,,0.0002317775286811165,estimated,,324.4900207519531,estimated,63.163909912109375,estimated,7.2485003,estimated
C/C=C/C(=O)OC(C)C,AABBHSMFGKYLKE-SNAWJCMRSA-N,,,5.850574772224013,estimated,,141.81143188476562,estimated,-56.559112548828125,estimated,2.0489998,estimated
CC=CC(=O)OC(C)C,AABBHSMFGKYLKE-UHFFFAOYSA-N,018060-77-0,exact,5.850574772224013,estimated,,141.81143188476562,estimated,-56.559112548828125,estimated,2.0489998,estimated
CSc1nc(NC(C)C)nc(NC(C)C)n1,AAEVYOVXGOFMJO-UHFFFAOYSA-N,007287-19-6,exact,1.24e-06,experimental,"TOMLIN,C:2003",346.6826477050781,estimated,119.0,experimental,3.51,experimental
C=CCC1=CC(C)(OC)C(O)C=C1,AAKXDOQQEHOPLA-UHFFFAOYSA-N,,,0.0007612850348678029,estimated,,263.7927551269531,estimated,51.653350830078125,estimated,2.2148998,estimated
CC1(C)COC(C)(c2ccccc2)OC1,AALXTPRRKXUUOM-UHFFFAOYSA-N,005406-58-6,exact,0.003187606320716522,estimated,,275.3454895019531,estimated,62.6115608215332,estimated,3.8473997,estimated
CCCC(=O)C=CC1C(C)=CCCC1(C)C,AAMDTOSQEKQSBS-UHFFFAOYSA-N,,,0.0023697974483763862,estimated,,291.6659851074219,estimated,63.730926513671875,estimated,5.276,estimated
CCCCCCCCC1CO1,AAMHBRRZYSORSH-UHFFFAOYSA-N,068413-40-1,exact,0.6694904968140725,estimated,,194.56515502929688,estimated,-13.122650146484375,estimated,3.8099003,estimated
CCCCCCCCC=CC=CC=CC=CC=O,AAMSLZKSAJNVNF-UHFFFAOYSA-N,,,0.00014149815031158321,estimated,,343.2462463378906,estimated,39.351593017578125,estimated,6.3405995,estimated
CCC(=O)OCC(C)O,AAMWEWAFFUFOJV-UHFFFAOYSA-N,025496-75-7,exact,0.1591054276628209,estimated,,187.131103515625,estimated,-16.013031005859375,estimated,0.3081001,estimated
