smiles,cramer,ames_alert,ames_sa,gradient
CCCCCCCCCCCCCCCOC(C)=O,I,0,,none
C/C=C/C(=O)OC(C)C,I,0,,none
CC=CC(=O)OC(C)C,I,0,,none
CSc1nc(NC(C)C)nc(NC(C)C)n1,III,0,,III
C=CCC1=CC(C)(OC)C(O)C=C1,III,0,,none
CC1(C)COC(C)(c2ccccc2)OC1,III,0,,none
CCCC(=O)C=CC1C(C)=CCCC1(C)C,II,1,SA10_Ames,none
CCCCCCCCC1CO1,III,1,SA7_Ames,none
CCCCCCCCC=CC=CC=CC=CC=O,II,1,SA10_Ames,none
CCC(=O)OCC(C)O,I,0,,none
CCC1NC(CC)SC(CC)S1,II,0,,III
O=c1nc[nH]c2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[Na+].[Na+],III,0,,III
CC(C)C1C=CC(=O)CC1,II,1,SA10_Ames,none
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,III,0,,III
C/C=C/SSCCC,III,0,,none
CC=CSSCCC,III,0,,none
CC(=O)OCC1CCCO1,II,0,,none
CCNc1ccc(C)cc1,III,1,SA28bis_Ames,III
CCOP(=O)(CC)OCC,III,1,SA2_Ames,none
CCC/C=C/CCOC(C)=O,I,0,,none
CCC/C=C\CCOC(C)=O,I,0,,none
CCOC(=O)/C(C)=C/C(C)C,I,0,,none
C=CCOC(=S)CCCCC,III,0,,none
COc1ccccc1OC,I,0,,none
CC(C)CCCCCCCCCCCCCCCOC(=O)CCCCCCCCCCCCCCC(C)C,I,0,,none
Cc1ccc(CCC=O)cc1,I,1,SA11_Ames,none
CCCCCc1ccncc1,III,0,,none
CC(C)CC1CCCC(C)(O)C1.CC(C)CC1CCCC(C)(O)C1,I,0,,none
CC=CC=CCC(=O)OC(C)C,I,0,,none
CCCCCCCC1CCOC1=O,I,0,,none
O=C1CCCC=CCCCCCCCCCC1,II,0,,none
O=C1CCC/C=C\CCCCCCCCCC1,II,0,,none
CCc1ccccc1S,III,0,,none
O=C1O[C@H]([C@@H](O)CO)C(O)=C1OP(=O)(O)O.[Na].[Na].[Na],III,0,,none
F[Si](F)(F)F,III,0,,III
CCCCSSC,III,0,,none
CCCCCCCC=CC(=O)OC(CCCCCCCC)C(=O)O,I,0,,none
CCCC(C)C(=O)OCCC(C)C,I,0,,none
CCCCCC(O)O,I,0,,none
CCCC(O)CC(=O)OC,I,0,,none
COC(=O)/C=C(\C)CCC=C(C)C,I,0,,none
COC(=O)/C=C(/C)CCC=C(C)C,I,0,,none
CCCC/C=C/COC(=O)CC(C)C,I,0,,none
N#CCCc1ccccc1,III,0,,none
CO[C@@H]1[C@@H](OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)[C@@H](CC=O)C[C@@H](C)[C@@H](OC2CCC(N(C)C)C(C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O,III,1,SA11_Ames,II
CCCCCCCCCCCCCCC(=O)OCC(C)C,I,0,,none
CC1=CCCC(C)(C)C1C(C)CCC=O,I,1,SA11_Ames,none
C/C=C(\C)C=O,II,1,SA10_Ames,none
C/C=C(/C)C=O,II,1,SA10_Ames,none
CC=C(C)C=O,II,1,SA10_Ames,none
O=C([O-])CN(CCN(CC(=O)[O-])CC(=O)[O-])CC(=O)[O-].[Ca+2].[Ca+2],III,0,,II
O=C1Cc2ccccc2O1,I,0,,none
O=Cc1cc2ccccc2o1,II,1,SA11_Ames,none
CC(C)COCc1ccccc1,III,0,,none
C=C(C)[C@@H]1CC[C@H](C)C2=C(C1)[C@@H](C)CC2,I,0,,none
C=C(C)C1CCC(C)C2=C(C1)C(C)CC2,I,0,,none
O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,III,0,,III
CCCCCC/C=C/C(=O)O,I,0,,none
CCCCCC/C=C\C(=O)O,I,0,,none
CCCCCCC=CC(=O)O,I,0,,none
CCCCC(=O)OCC(C)C,I,0,,none
CCCCc1ccccn1,II,0,,none
CCCCCCCCC1CCOC1=O,I,0,,none
COC(=O)c1ccccc1NC(O)CC(C)c1ccccc1,III,0,,III
CCCCCCCC1(C)OCC(C)O1,I,0,,none
CCC(=O)c1ccc[nH]1,II,0,,none
CCC(C)(O)CCc1ccccc1,I,0,,none
O=C(O)CO,I,0,,none
C=C(C)C1CCC(C)=C(C=O)C1,II,1,SA10_Ames,none
CCC(CO)NCCNC(CC)CO,III,0,,III
CC[C@@H](CO)NCCN[C@@H](CC)CO,III,0,,III
